BHK,Rent,Size,Area Type,Area Locality,City,Furnishing Status,Bathroom,Point of Contact
2,10000,1100,Super Area,Bandel,Kolkata,Unfurnished,2,Contact Owner
2,20000,800,Super Area,"Phool Bagan, Kankurgachi",Kolkata,Semi-Furnished,1,Contact Owner
2,17000,1000,Super Area,Salt Lake City Sector 2,Kolkata,Semi-Furnished,1,Contact Owner
2,10000,800,Super Area,Dumdum Park,Kolkata,Unfurnished,1,Contact Owner
2,7500,850,Carpet Area,South Dum Dum,Kolkata,Unfurnished,1,Contact Owner
2,7000,600,Super Area,Thakurpukur,Kolkata,Unfurnished,2,Contact Owner
2,10000,700,Super Area,Malancha,Kolkata,Unfurnished,2,Contact Agent
1,5000,250,Super Area,Malancha,Kolkata,Unfurnished,1,Contact Agent
2,26000,800,Carpet Area,"Palm Avenue Kolkata, Ballygunge",Kolkata,Unfurnished,2,Contact Agent
2,10000,1000,Carpet Area,Natunhat,Kolkata,Semi-Furnished,2,Contact Owner
3,25000,1200,Carpet Area,"Action Area 1, Rajarhat Newtown",Kolkata,Semi-Furnished,2,Contact Agent
1,5000,400,Carpet Area,Keshtopur,Kolkata,Unfurnished,1,Contact Agent
1,6500,250,Carpet Area,"Tarulia, Keshtopur",Kolkata,Furnished,1,Contact Owner
1,5500,375,Carpet Area,Dum Dum Metro,Kolkata,Unfurnished,1,Contact Agent
3,8500,900,Carpet Area,Paschim Barisha,Kolkata,Unfurnished,2,Contact Owner
3,40000,1286,Carpet Area,New Town Action Area 1,Kolkata,Furnished,2,Contact Owner
2,6000,600,Super Area,Barasat,Kolkata,Semi-Furnished,1,Contact Owner
2,10000,800,Super Area,Behala,Kolkata,Unfurnished,1,Contact Owner
2,11000,2000,Carpet Area,Behala Chowrasta,Kolkata,Unfurnished,1,Contact Owner
2,6000,660,Super Area,Behala,Kolkata,Unfurnished,1,Contact Owner
2,7900,650,Carpet Area,Santoshpur,Kolkata,Unfurnished,1,Contact Owner
2,9000,400,Carpet Area,"Garia Station, Garia",Kolkata,Unfurnished,2,Contact Owner
1,4000,300,Carpet Area,"Garia Station, Garia",Kolkata,Unfurnished,1,Contact Owner
3,6500,1600,Super Area,Joka,Kolkata,Unfurnished,1,Contact Owner
1,8000,400,Super Area,Sreebhumi,Kolkata,Semi-Furnished,1,Contact Agent
2,7000,1000,Super Area,Rajarhat,Kolkata,Unfurnished,1,Contact Owner
1,5300,355,Carpet Area,Dum Dum,Kolkata,Semi-Furnished,1,Contact Agent
2,6000,1000,Super Area,"Kodalia, Hooghly-Chinsurah",Kolkata,Semi-Furnished,1,Contact Owner
2,8500,800,Super Area,Baguiati,Kolkata,Unfurnished,1,Contact Owner
